scenario,protocol,architecture,traffic_level,num_spots,sim_duration_s,access_loss,backhaul_loss,agg_interval_s,mqtt_qos,coap_mode,amqp_exchange,amqp_ack,amqp_durable,heartbeat_interval_s,n_runs,seeds,metric,mean,std,ci95_low,ci95_high,ci95_halfwidth
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,cloud_reflection_ratio,0.964,0.010296,0.951218,0.976782,0.012782
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,physical_delivery_ratio,0.92896,0.002434,0.925939,0.931981,0.003021
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,backhaul_delivery_ratio,0.9792,0.002503,0.976093,0.982307,0.003107
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,message_reduction_ratio,0.48358,0.00266,0.480277,0.486883,0.003303
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,aggregation_ratio,1.0,0.0,1.0,1.0,0.0
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_bytes_sent,859897.2,15110.335162,841138.248648,878656.151352,18758.951352
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_sent,4727.0,86.715051,4619.346305,4834.653695,107.653695
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_delivered,4628.6,79.005063,4530.517984,4726.682016,98.082016
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_e2c_sent,746449.2,13029.190025,730273.917373,762624.482627,16175.282627
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_s2e_sent,184485.0,1958.904668,182053.088531,186916.911469,2431.911469
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_retransmissions,0.0,0.0,0.0,0.0,0.0
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_duplicate_deliveries,0.0,0.0,0.0,0.0,0.0
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,unique_state_changes_applied_at_cloud,3093.8,80.200998,2994.233273,3193.366727,99.566727
A2_edge_filtered,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,duplicate_events_at_cloud,0.0,0.0,0.0,0.0,0.0
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_mean_ms,2622.558,35.517923,2578.463744,2666.652256,44.094256
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p50_ms,2621.882,70.277514,2534.63493,2709.12907,87.24707
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p95_ms,4855.612,19.602035,4831.276761,4879.947239,24.335239
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p99_ms,5051.114,9.238795,5039.64436,5062.58364,11.46964
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,e2e_unique_delivery_ratio,0.89008,0.008311,0.879763,0.900397,0.010317
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,cloud_reflection_ratio,0.958,0.012728,0.942199,0.973801,0.015801
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,physical_delivery_ratio,0.92974,0.002662,0.926435,0.933045,0.003305
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,backhaul_delivery_ratio,0.98004,0.003533,0.975654,0.984426,0.004386
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,message_reduction_ratio,0.79856,0.002292,0.795715,0.801405,0.002845
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,aggregation_ratio,0.3901,0.005451,0.383333,0.396867,0.006767
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_bytes_sent,692417.8,10703.345234,679129.972139,705705.627861,13287.827861
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_sent,1843.6,15.565989,1824.275371,1862.924629,19.324629
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_delivered,1805.8,13.498148,1789.042522,1822.557478,16.757478
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_e2c_sent,648413.6,10459.439674,635428.572341,661398.627659,12985.027659
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_s2e_sent,184485.0,1958.904668,182053.088531,186916.911469,2431.911469
A3_edge_agg_5s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,5.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_retransmissions,0.0,0.0,0.0,0.0,0.0
