Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 1112
  Anomalies resolved    : 1071
  Active at end         : 41
  Affected spots        : 138
  Quarantined at end    : 18
  Quarantine suppressed : 30
  Heartbeats suppressed : 40448
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        3814.8  ANOMALY_FLAG            spot=45 rule=R3_rapid_arrival cumulative_flags=7
        3814.8  ANOMALY_FLAG            spot=45 rule=R4_stale_seq cumulative_flags=8
        3814.8  ANOMALY_FLAG            spot=45 rule=R5_rapid_state_flip cumulative_flags=9
        3852.6  ANOMALY_RESOLVE         spot=142 rule=R4_stale_seq
        3852.6  ANOMALY_RESOLVE         spot=142 rule=R5_rapid_state_flip
        3852.6  ANOMALY_FLAG            spot=142 rule=R3_rapid_arrival cumulative_flags=3
        3852.6  ANOMALY_FLAG            spot=142 rule=R3_rapid_arrival cumulative_flags=4
        3852.6  ANOMALY_FLAG            spot=142 rule=R4_stale_seq cumulative_flags=5
        3852.6  QUARANTINE_ADD          spot=142 cumulative_flags=5 threshold=5
        3852.6  ANOMALY_FLAG            spot=142 rule=R5_rapid_state_flip cumulative_flags=6
        3862.6  ANOMALY_RESOLVE         spot=124 rule=R3_rapid_arrival
        3894.3  ANOMALY_FLAG            spot=94 rule=R4_stale_seq cumulative_flags=1
        3894.3  ANOMALY_FLAG            spot=94 rule=R5_rapid_state_flip cumulative_flags=2
        3894.3  QUARANTINE_ADD          spot=94 cumulative_flags=5 threshold=5
        3907.6  ANOMALY_RESOLVE         spot=176 rule=R3_rapid_arrival
        3907.6  ANOMALY_RESOLVE         spot=176 rule=R4_stale_seq
        3907.6  ANOMALY_RESOLVE         spot=176 rule=R5_rapid_state_flip
        3990.0  QUARANTINE_RELEASE      spot=124 reason=5 clean anomaly ticks
        4019.3  ANOMALY_RESOLVE         spot=45 rule=R4_stale_seq
        4019.3  ANOMALY_RESOLVE         spot=45 rule=R5_rapid_state_flip
        4019.3  ANOMALY_RESOLVE         spot=45 rule=R3_rapid_arrival
        4019.3  ANOMALY_RESOLVE         spot=45 rule=R4_stale_seq
        4019.3  ANOMALY_RESOLVE         spot=45 rule=R5_rapid_state_flip
        4050.7  ANOMALY_FLAG            spot=440 rule=R5_rapid_state_flip cumulative_flags=2
        4098.8  ANOMALY_FLAG            spot=94 rule=R3_rapid_arrival cumulative_flags=7
        4098.8  ANOMALY_RESOLVE         spot=94 rule=R4_stale_seq
        4098.8  ANOMALY_RESOLVE         spot=94 rule=R5_rapid_state_flip
        4098.8  ANOMALY_FLAG            spot=94 rule=R3_rapid_arrival cumulative_flags=8
        4098.8  ANOMALY_FLAG            spot=94 rule=R4_stale_seq cumulative_flags=9
        4098.8  ANOMALY_FLAG            spot=94 rule=R5_rapid_state_flip cumulative_flags=10
        4151.4  ANOMALY_RESOLVE         spot=320 rule=R3_rapid_arrival
        4200.0  QUARANTINE_RELEASE      spot=45 reason=5 clean anomaly ticks
        4271.9  ANOMALY_FLAG            spot=124 rule=R3_rapid_arrival cumulative_flags=1
        4271.9  QUARANTINE_ADD          spot=124 cumulative_flags=5 threshold=5
        4285.7  ANOMALY_FLAG            spot=207 rule=R3_rapid_arrival cumulative_flags=1
        4285.7  QUARANTINE_ADD          spot=207 cumulative_flags=5 threshold=5
        4290.0  QUARANTINE_RELEASE      spot=320 reason=5 clean anomaly ticks
        4296.9  ANOMALY_RESOLVE         spot=214 rule=R4_stale_seq
        4296.9  ANOMALY_RESOLVE         spot=214 rule=R5_rapid_state_flip
        4296.9  ANOMALY_FLAG            spot=214 rule=R3_rapid_arrival cumulative_flags=7
        4296.9  ANOMALY_FLAG            spot=214 rule=R3_rapid_arrival cumulative_flags=8
        4296.9  ANOMALY_FLAG            spot=214 rule=R4_stale_seq cumulative_flags=9
        4296.9  ANOMALY_FLAG            spot=214 rule=R5_rapid_state_flip cumulative_flags=10
        4380.8  ANOMALY_RESOLVE         spot=142 rule=R3_rapid_arrival
        4380.8  ANOMALY_RESOLVE         spot=142 rule=R3_rapid_arrival
        4380.8  ANOMALY_RESOLVE         spot=142 rule=R4_stale_seq
        4380.8  ANOMALY_RESOLVE         spot=142 rule=R5_rapid_state_flip
        4380.8  ANOMALY_FLAG            spot=142 rule=R4_stale_seq cumulative_flags=7
        4380.8  ANOMALY_FLAG            spot=142 rule=R5_rapid_state_flip cumulative_flags=8
