Scenario Log: A9_adaptive_edge
Architecture: edge_aggregated   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 0
  Anomalies resolved    : 0
  Active at end         : 0
  Affected spots        : 0
  Quarantined at end    : 0
  Quarantine suppressed : 0
  Heartbeats suppressed : 30630
  Adaptive mode switches: 4

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
       14490.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.893 < 90% delta_sent=8 delta_recv=6 agg_interval=7.5→15.0s
       14670.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.892 < 90% delta_sent=10 delta_recv=8 agg_interval=15.0→30.0s
       14790.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.871 < 90% delta_sent=8 delta_recv=6 agg_interval=30.0→60.0s
       14880.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.890 < 90% delta_sent=8 delta_recv=8 agg_interval=60.0→60.0s
       15120.0  AGG_WINDOW_DECREASE     DR=0.921 healthy, agg_interval=60.0→30.0s
       15300.0  AGG_WINDOW_DECREASE     DR=0.927 healthy, agg_interval=30.0→15.0s
       15390.0  AGG_WINDOW_DECREASE     DR=0.938 healthy, agg_interval=15.0→7.5s
       15450.0  AGG_WINDOW_DECREASE     DR=0.947 healthy, agg_interval=7.5→5.0s
       18390.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.900 < 90% delta_sent=8 delta_recv=6 agg_interval=5.0→10.0s
       18480.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.877 < 90% delta_sent=8 delta_recv=6 agg_interval=10.0→20.0s
       18600.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.896 < 90% delta_sent=10 delta_recv=10 agg_interval=20.0→40.0s
       18840.0  AGG_WINDOW_DECREASE     DR=0.925 healthy, agg_interval=40.0→20.0s
       19020.0  AGG_WINDOW_DECREASE     DR=0.931 healthy, agg_interval=20.0→10.0s
       19110.0  AGG_WINDOW_DECREASE     DR=0.925 healthy, agg_interval=10.0→5.0s
