Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 10800s
========================================================================

SUMMARY
  Anomalies detected    : 99
  Anomalies resolved    : 81
  Active at end         : 18
  Affected spots        : 95
  Quarantined at end    : 2
  Quarantine suppressed : 0
  Heartbeats suppressed : 82667
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        4468.3  ANOMALY_FLAG            spot=449 rule=R3_rapid_arrival cumulative_flags=1
        4526.5  ANOMALY_RESOLVE         spot=343 rule=R5_rapid_state_flip
        4544.3  ANOMALY_FLAG            spot=431 rule=R3_rapid_arrival cumulative_flags=1
        4579.9  ANOMALY_FLAG            spot=361 rule=R3_rapid_arrival cumulative_flags=1
        4609.1  ANOMALY_RESOLVE         spot=397 rule=R3_rapid_arrival
        4619.0  ANOMALY_RESOLVE         spot=36 rule=R3_rapid_arrival
        4641.6  ANOMALY_FLAG            spot=310 rule=R5_rapid_state_flip cumulative_flags=1
        4698.7  ANOMALY_FLAG            spot=122 rule=R3_rapid_arrival cumulative_flags=1
        4736.8  ANOMALY_FLAG            spot=224 rule=R3_rapid_arrival cumulative_flags=1
        4748.0  ANOMALY_RESOLVE         spot=347 rule=R3_rapid_arrival
        4784.8  ANOMALY_FLAG            spot=177 rule=R3_rapid_arrival cumulative_flags=1
        4805.3  ANOMALY_RESOLVE         spot=91 rule=R3_rapid_arrival
        4843.5  ANOMALY_FLAG            spot=266 rule=R5_rapid_state_flip cumulative_flags=1
        4857.6  ANOMALY_FLAG            spot=36 rule=R3_rapid_arrival cumulative_flags=2
        4857.6  QUARANTINE_ADD          spot=36 cumulative_flags=2 threshold=2
        4864.1  ANOMALY_RESOLVE         spot=361 rule=R3_rapid_arrival
        4917.6  ANOMALY_RESOLVE         spot=449 rule=R3_rapid_arrival
        5036.5  ANOMALY_FLAG            spot=208 rule=R3_rapid_arrival cumulative_flags=1
        5111.9  ANOMALY_FLAG            spot=103 rule=R3_rapid_arrival cumulative_flags=1
        5209.5  ANOMALY_FLAG            spot=498 rule=R3_rapid_arrival cumulative_flags=1
        5238.0  ANOMALY_RESOLVE         spot=63 rule=R3_rapid_arrival
        5312.9  ANOMALY_RESOLVE         spot=422 rule=R3_rapid_arrival
        5335.3  ANOMALY_FLAG            spot=337 rule=R3_rapid_arrival cumulative_flags=1
        5366.0  ANOMALY_RESOLVE         spot=438 rule=R3_rapid_arrival
        5502.6  ANOMALY_RESOLVE         spot=385 rule=R3_rapid_arrival
        5522.8  ANOMALY_RESOLVE         spot=177 rule=R3_rapid_arrival
        5666.5  ANOMALY_RESOLVE         spot=337 rule=R3_rapid_arrival
        5839.6  ANOMALY_FLAG            spot=42 rule=R3_rapid_arrival cumulative_flags=1
        5905.3  ANOMALY_RESOLVE         spot=122 rule=R3_rapid_arrival
        5909.9  ANOMALY_FLAG            spot=190 rule=R3_rapid_arrival cumulative_flags=1
        5960.4  ANOMALY_FLAG            spot=127 rule=R3_rapid_arrival cumulative_flags=1
        6003.5  ANOMALY_RESOLVE         spot=310 rule=R5_rapid_state_flip
        6114.9  ANOMALY_FLAG            spot=338 rule=R3_rapid_arrival cumulative_flags=1
        6213.3  ANOMALY_RESOLVE         spot=233 rule=R3_rapid_arrival
        6242.4  ANOMALY_RESOLVE         spot=36 rule=R3_rapid_arrival
        6258.9  ANOMALY_RESOLVE         spot=266 rule=R5_rapid_state_flip
        6319.6  ANOMALY_FLAG            spot=118 rule=R3_rapid_arrival cumulative_flags=1
