Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 1332
  Anomalies resolved    : 1318
  Active at end         : 14
  Affected spots        : 34
  Quarantined at end    : 30
  Quarantine suppressed : 137
  Heartbeats suppressed : 32823
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        5280.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
        5280.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        5310.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        5310.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        5340.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5370.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        5430.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        5490.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        5610.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
        5640.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        5730.0  ANOMALY_FLAG            spot=120 rule=seq_integrity
        5790.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5790.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        5850.0  ANOMALY_FLAG            spot=177 rule=seq_integrity
        5880.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        6030.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        6180.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        6240.0  ANOMALY_FLAG            spot=285 rule=rate_outlier
        6300.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        6390.0  QUARANTINE_ADD          spot=176 incidents=6 rules=['seq_integrity']
        6390.0  ANOMALY_FLAG            spot=146 rule=seq_integrity
        6390.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        6390.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
        6450.0  ANOMALY_FLAG            spot=282 rule=seq_integrity
        6570.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        6690.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        6720.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
        6840.0  ANOMALY_FLAG            spot=417 rule=seq_integrity
        6900.0  QUARANTINE_ADD          spot=65 incidents=5 rules=['seq_integrity']
        6900.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
        6960.0  ANOMALY_FLAG            spot=290 rule=seq_integrity
        7050.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        7080.0  ANOMALY_FLAG            spot=98 rule=seq_integrity
        7230.0  ANOMALY_FLAG            spot=254 rule=silent
        7230.0  ANOMALY_FLAG            spot=119 rule=silent
        7230.0  ANOMALY_FLAG            spot=389 rule=silent
        7230.0  ANOMALY_FLAG            spot=132 rule=silent
        7230.0  ANOMALY_FLAG            spot=317 rule=silent
        7230.0  ANOMALY_FLAG            spot=375 rule=silent
        7470.0  ANOMALY_FLAG            spot=328 rule=seq_integrity
        7500.0  ANOMALY_FLAG            spot=255 rule=seq_integrity
        7620.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        7620.0  ANOMALY_FLAG            spot=285 rule=rate_outlier
        7710.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        7740.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        7740.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        7800.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
        7800.0  ANOMALY_FLAG            spot=134 rule=seq_integrity
        7830.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        7860.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        7890.0  ANOMALY_FLAG            spot=265 rule=seq_integrity
        7920.0  QUARANTINE_ADD          spot=354 incidents=5 rules=['seq_integrity']
        7920.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        7920.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
        7950.0  QUARANTINE_ADD          spot=119 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=132 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=254 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=317 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=375 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=389 incidents=5 rules=['silent']
        7980.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        8010.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        8040.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        8130.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
        8130.0  ANOMALY_FLAG            spot=109 rule=seq_integrity
        8130.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        8250.0  QUARANTINE_ADD          spot=308 incidents=5 rules=['seq_integrity']
