Scenario Log: A8_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 710
  Anomalies resolved    : 697
  Active at end         : 13
  Affected spots        : 25
  Quarantined at end    : 24
  Quarantine suppressed : 31
  Heartbeats suppressed : 33206
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        7080.0  ANOMALY_FLAG            spot=4 rule=seq_integrity
        7110.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        7200.0  ANOMALY_FLAG            spot=95 rule=seq_integrity
        7230.0  ANOMALY_FLAG            spot=389 rule=silent
        7230.0  ANOMALY_FLAG            spot=132 rule=silent
        7230.0  ANOMALY_FLAG            spot=317 rule=silent
        7230.0  ANOMALY_FLAG            spot=375 rule=silent
        7230.0  ANOMALY_FLAG            spot=254 rule=silent
        7230.0  ANOMALY_FLAG            spot=119 rule=silent
        7290.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        7320.0  ANOMALY_FLAG            spot=195 rule=seq_integrity
        7380.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
        7500.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        7620.0  ANOMALY_FLAG            spot=260 rule=seq_integrity
        7620.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        7710.0  ANOMALY_FLAG            spot=131 rule=seq_integrity
        7830.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        7920.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
        7950.0  QUARANTINE_ADD          spot=119 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=132 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=254 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=317 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=375 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=389 incidents=5 rules=['silent']
        7980.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        8040.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        8070.0  ANOMALY_FLAG            spot=468 rule=seq_integrity
        8070.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        8370.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
        8370.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        8430.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        8430.0  ANOMALY_FLAG            spot=224 rule=rate_outlier
        8460.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        8790.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        8820.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        8910.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        8940.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        9150.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        9270.0  ANOMALY_FLAG            spot=426 rule=seq_integrity
        9540.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        9570.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        9660.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        9690.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        9810.0  ANOMALY_FLAG            spot=193 rule=seq_integrity
        9810.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        9870.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        9900.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
        9930.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        9930.0  ANOMALY_FLAG            spot=224 rule=rate_outlier
        9990.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       10320.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       10410.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       10530.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
       11010.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
       11040.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       11100.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
       11160.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       11220.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       11310.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       11400.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
       11400.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       11430.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
