Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 906
  Anomalies resolved    : 894
  Active at end         : 12
  Affected spots        : 30
  Quarantined at end    : 29
  Quarantine suppressed : 39
  Heartbeats suppressed : 33207
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        6330.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        6360.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        6600.0  ANOMALY_FLAG            spot=14 rule=seq_integrity
        6630.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        6630.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        6690.0  ANOMALY_FLAG            spot=274 rule=seq_integrity
        6750.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        6930.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
        7080.0  ANOMALY_FLAG            spot=224 rule=rate_outlier
        7230.0  ANOMALY_FLAG            spot=389 rule=silent
        7230.0  ANOMALY_FLAG            spot=132 rule=silent
        7230.0  ANOMALY_FLAG            spot=317 rule=silent
        7230.0  ANOMALY_FLAG            spot=375 rule=silent
        7230.0  ANOMALY_FLAG            spot=254 rule=silent
        7230.0  ANOMALY_FLAG            spot=119 rule=silent
        7500.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        7590.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        7590.0  ANOMALY_FLAG            spot=407 rule=seq_integrity
        7620.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
        7620.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        7620.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        7710.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        7860.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        7920.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
        7920.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        7950.0  QUARANTINE_ADD          spot=119 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=132 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=254 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=317 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=375 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=389 incidents=5 rules=['silent']
        7980.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        8010.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        8250.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        8400.0  ANOMALY_FLAG            spot=322 rule=rate_outlier
        8460.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        8520.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
        8730.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        8760.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        8820.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
        8910.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        8910.0  ANOMALY_FLAG            spot=402 rule=seq_integrity
        9000.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
