Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 5524
  Anomalies resolved    : 5503
  Active at end         : 21
  Affected spots        : 500
  Quarantined at end    : 13
  Quarantine suppressed : 28
  Heartbeats suppressed : 40448
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        5798.9  ANOMALY_FLAG            spot=394 rule=R5_rapid_state_flip cumulative_flags=1
        5804.0  ANOMALY_FLAG            spot=102 rule=R5_rapid_state_flip cumulative_flags=1
        5818.7  ANOMALY_FLAG            spot=318 rule=R5_rapid_state_flip cumulative_flags=1
        5821.8  ANOMALY_FLAG            spot=214 rule=R5_rapid_state_flip cumulative_flags=1
        5823.3  ANOMALY_FLAG            spot=455 rule=R5_rapid_state_flip cumulative_flags=1
        5826.5  ANOMALY_FLAG            spot=482 rule=R5_rapid_state_flip cumulative_flags=1
        5831.1  ANOMALY_FLAG            spot=17 rule=R5_rapid_state_flip cumulative_flags=1
        5831.2  ANOMALY_FLAG            spot=177 rule=R5_rapid_state_flip cumulative_flags=1
        5840.6  ANOMALY_RESOLVE         spot=161 rule=R5_rapid_state_flip
        5840.6  ANOMALY_FLAG            spot=161 rule=R5_rapid_state_flip cumulative_flags=2
        5842.1  ANOMALY_FLAG            spot=46 rule=R5_rapid_state_flip cumulative_flags=1
        5843.0  ANOMALY_FLAG            spot=316 rule=R5_rapid_state_flip cumulative_flags=1
        5843.8  ANOMALY_FLAG            spot=27 rule=R5_rapid_state_flip cumulative_flags=1
        5851.8  ANOMALY_RESOLVE         spot=104 rule=R5_rapid_state_flip
        5852.1  ANOMALY_FLAG            spot=469 rule=R5_rapid_state_flip cumulative_flags=1
        5857.7  ANOMALY_FLAG            spot=87 rule=R5_rapid_state_flip cumulative_flags=1
        5860.4  ANOMALY_FLAG            spot=104 rule=R5_rapid_state_flip cumulative_flags=2
        5907.5  ANOMALY_FLAG            spot=268 rule=R5_rapid_state_flip cumulative_flags=1
        5924.7  ANOMALY_RESOLVE         spot=197 rule=R5_rapid_state_flip
        5930.2  ANOMALY_FLAG            spot=197 rule=R5_rapid_state_flip cumulative_flags=2
        5932.4  ANOMALY_FLAG            spot=321 rule=R5_rapid_state_flip cumulative_flags=1
        5932.6  ANOMALY_FLAG            spot=328 rule=R5_rapid_state_flip cumulative_flags=1
        5941.9  ANOMALY_FLAG            spot=50 rule=R5_rapid_state_flip cumulative_flags=1
        5941.9  ANOMALY_FLAG            spot=109 rule=R5_rapid_state_flip cumulative_flags=1
        5942.9  ANOMALY_FLAG            spot=141 rule=R5_rapid_state_flip cumulative_flags=1
        5946.3  ANOMALY_FLAG            spot=460 rule=R5_rapid_state_flip cumulative_flags=1
        5946.7  ANOMALY_FLAG            spot=352 rule=R5_rapid_state_flip cumulative_flags=1
        5948.0  ANOMALY_FLAG            spot=179 rule=R5_rapid_state_flip cumulative_flags=1
        5952.1  ANOMALY_FLAG            spot=351 rule=R5_rapid_state_flip cumulative_flags=1
        5962.0  ANOMALY_FLAG            spot=178 rule=R5_rapid_state_flip cumulative_flags=1
        5967.2  ANOMALY_FLAG            spot=175 rule=R5_rapid_state_flip cumulative_flags=1
        5971.4  ANOMALY_FLAG            spot=86 rule=R5_rapid_state_flip cumulative_flags=1
        5977.2  ANOMALY_FLAG            spot=330 rule=R5_rapid_state_flip cumulative_flags=1
        5985.1  ANOMALY_FLAG            spot=58 rule=R5_rapid_state_flip cumulative_flags=1
        5992.9  ANOMALY_RESOLVE         spot=292 rule=R5_rapid_state_flip
        5993.0  ANOMALY_FLAG            spot=292 rule=R5_rapid_state_flip cumulative_flags=2
        6000.7  ANOMALY_FLAG            spot=283 rule=R5_rapid_state_flip cumulative_flags=1
        6001.3  ANOMALY_FLAG            spot=98 rule=R5_rapid_state_flip cumulative_flags=1
        6003.6  ANOMALY_FLAG            spot=262 rule=R5_rapid_state_flip cumulative_flags=1
        6015.4  ANOMALY_FLAG            spot=188 rule=R5_rapid_state_flip cumulative_flags=1
        6022.0  ANOMALY_FLAG            spot=349 rule=R5_rapid_state_flip cumulative_flags=1
        6030.0  ANOMALY_RESOLVE         spot=479 rule=R5_rapid_state_flip
        6032.5  ANOMALY_FLAG            spot=479 rule=R5_rapid_state_flip cumulative_flags=2
        6038.5  ANOMALY_FLAG            spot=125 rule=R5_rapid_state_flip cumulative_flags=1
        6047.3  ANOMALY_FLAG            spot=332 rule=R5_rapid_state_flip cumulative_flags=1
        6058.4  ANOMALY_RESOLVE         spot=393 rule=R5_rapid_state_flip
        6077.8  ANOMALY_FLAG            spot=376 rule=R5_rapid_state_flip cumulative_flags=1
        6078.6  ANOMALY_FLAG            spot=173 rule=R5_rapid_state_flip cumulative_flags=1
        6084.0  ANOMALY_FLAG            spot=381 rule=R5_rapid_state_flip cumulative_flags=1
        6091.5  ANOMALY_RESOLVE         spot=482 rule=R5_rapid_state_flip
        6093.2  ANOMALY_RESOLVE         spot=250 rule=R5_rapid_state_flip
        6095.0  ANOMALY_RESOLVE         spot=433 rule=R5_rapid_state_flip
        6096.3  ANOMALY_FLAG            spot=482 rule=R5_rapid_state_flip cumulative_flags=2
        6097.5  ANOMALY_FLAG            spot=433 rule=R5_rapid_state_flip cumulative_flags=2
        6105.3  ANOMALY_FLAG            spot=302 rule=R5_rapid_state_flip cumulative_flags=1
        6112.4  ANOMALY_RESOLVE         spot=232 rule=R5_rapid_state_flip
        6116.3  ANOMALY_FLAG            spot=232 rule=R5_rapid_state_flip cumulative_flags=2
        6126.3  ANOMALY_FLAG            spot=183 rule=R5_rapid_state_flip cumulative_flags=1
        6133.9  ANOMALY_FLAG            spot=445 rule=R5_rapid_state_flip cumulative_flags=1
