Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 950
  Anomalies resolved    : 937
  Active at end         : 13
  Affected spots        : 31
  Quarantined at end    : 28
  Quarantine suppressed : 33
  Heartbeats suppressed : 33110
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        5190.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
        5220.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        5280.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
        5400.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
        5700.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
        5790.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
        5850.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        5880.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
        5910.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
        5940.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
        5970.0  ANOMALY_FLAG            spot=179 rule=seq_integrity
        6030.0  ANOMALY_FLAG            spot=283 rule=seq_integrity
        6120.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
        6270.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
        6300.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
        6360.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
        6390.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
        6420.0  QUARANTINE_ADD          spot=114 incidents=5 rules=['seq_integrity']
        6420.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
        6480.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        6480.0  ANOMALY_FLAG            spot=404 rule=rate_outlier
        6480.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
        6540.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
        6600.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
        6750.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        6810.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
        6900.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        6900.0  ANOMALY_FLAG            spot=207 rule=rate_outlier
        6930.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
        6960.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        7020.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        7080.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
        7110.0  ANOMALY_FLAG            spot=225 rule=seq_integrity
        7200.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
        7200.0  ANOMALY_FLAG            spot=124 rule=rate_outlier
        7200.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
        7230.0  ANOMALY_FLAG            spot=14 rule=silent
        7230.0  ANOMALY_FLAG            spot=273 rule=silent
        7230.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
        7230.0  ANOMALY_FLAG            spot=279 rule=silent
        7230.0  ANOMALY_FLAG            spot=11 rule=silent
        7230.0  ANOMALY_FLAG            spot=18 rule=silent
        7230.0  ANOMALY_FLAG            spot=260 rule=silent
        7260.0  ANOMALY_FLAG            spot=0 rule=seq_integrity
        7260.0  ANOMALY_FLAG            spot=476 rule=seq_integrity
        7320.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
        7380.0  ANOMALY_FLAG            spot=63 rule=seq_integrity
        7380.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
        7410.0  ANOMALY_FLAG            spot=112 rule=seq_integrity
        7440.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
        7500.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        7530.0  ANOMALY_FLAG            spot=320 rule=rate_outlier
        7530.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
        7590.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
        7770.0  ANOMALY_FLAG            spot=481 rule=seq_integrity
        7770.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
        7800.0  ANOMALY_FLAG            spot=359 rule=seq_integrity
        7830.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
        7830.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
        7860.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
        7920.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        7950.0  QUARANTINE_ADD          spot=11 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=14 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=18 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=260 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=273 incidents=5 rules=['silent']
        7950.0  QUARANTINE_ADD          spot=279 incidents=5 rules=['silent']
        8040.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
        8040.0  ANOMALY_FLAG            spot=157 rule=seq_integrity
        8070.0  ANOMALY_FLAG            spot=444 rule=seq_integrity
        8070.0  ANOMALY_FLAG            spot=153 rule=seq_integrity
        8190.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
        8190.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        8220.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        8220.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
        8250.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
        8250.0  ANOMALY_FLAG            spot=404 rule=rate_outlier
        8250.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
        8370.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
        8400.0  ANOMALY_FLAG            spot=295 rule=seq_integrity
        8400.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
        8430.0  ANOMALY_FLAG            spot=259 rule=seq_integrity
        8520.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
        8550.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        8580.0  ANOMALY_FLAG            spot=320 rule=rate_outlier
        8580.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
        8730.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
        8760.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
        8790.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
        8820.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        8970.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        9090.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        9120.0  ANOMALY_FLAG            spot=207 rule=rate_outlier
        9270.0  ANOMALY_FLAG            spot=401 rule=seq_integrity
        9270.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
        9300.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
        9570.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        9930.0  ANOMALY_FLAG            spot=38 rule=seq_integrity
        9960.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
        9960.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       10050.0  ANOMALY_FLAG            spot=337 rule=seq_integrity
       10200.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       10380.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       10590.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
       10620.0  ANOMALY_FLAG            spot=124 rule=rate_outlier
       10800.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
       10800.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       10950.0  ANOMALY_FLAG            spot=332 rule=seq_integrity
       10950.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       10980.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       11250.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       11280.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
       11280.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
       11370.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       11400.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
       11430.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
       11430.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       11430.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
       11670.0  ANOMALY_FLAG            spot=153 rule=seq_integrity
       11700.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       11760.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       11790.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
       11820.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       11820.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       11850.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
       11940.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       12090.0  ANOMALY_FLAG            spot=240 rule=seq_integrity
       12510.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       12570.0  ANOMALY_FLAG            spot=404 rule=rate_outlier
       12570.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       12840.0  QUARANTINE_ADD          spot=234 incidents=5 rules=['seq_integrity']
       12840.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
       12870.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       12960.0  ANOMALY_FLAG            spot=215 rule=seq_integrity
       13020.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       13050.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
       13050.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       13200.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
       13230.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       13440.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
       13650.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       13710.0  ANOMALY_FLAG            spot=253 rule=seq_integrity
       13770.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       13800.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       14130.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       14340.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       14400.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       14580.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       14640.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       14880.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
       15030.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
       15030.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       15030.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
       15120.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       15270.0  ANOMALY_FLAG            spot=153 rule=seq_integrity
       15270.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       15300.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
       15390.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       15390.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
       15420.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       15420.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       15450.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
       15480.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       15540.0  ANOMALY_FLAG            spot=404 rule=rate_outlier
       15540.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       15810.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       15870.0  QUARANTINE_RELEASE      spot=176 reason=score recovered (5 clean ticks)
       15960.0  ANOMALY_FLAG            spot=76 rule=seq_integrity
       16020.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       16080.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
       16110.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       16140.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       16290.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       16380.0  ANOMALY_FLAG            spot=398 rule=seq_integrity
       16410.0  ANOMALY_FLAG            spot=180 rule=seq_integrity
       16470.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       16560.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
       16560.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       16800.0  ANOMALY_FLAG            spot=149 rule=seq_integrity
       17190.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       17250.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
       17370.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       17790.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       18000.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       18150.0  ANOMALY_FLAG            spot=144 rule=seq_integrity
       18180.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       18300.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       18360.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
       18360.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       18630.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       18630.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
       18720.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
       18750.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       18900.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
       19020.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       19020.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       19080.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       19140.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
       19200.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       19380.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
       19470.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       19530.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
       19620.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       19740.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       19770.0  ANOMALY_FLAG            spot=153 rule=seq_integrity
       19860.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
       19920.0  ANOMALY_FLAG            spot=121 rule=seq_integrity
       19950.0  ANOMALY_FLAG            spot=404 rule=rate_outlier
       19950.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       20100.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       20100.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       20370.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
       20490.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       20580.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
       20640.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
       20790.0  QUARANTINE_ADD          spot=152 incidents=5 rules=['seq_integrity']
       20790.0  QUARANTINE_ADD          spot=176 incidents=7 rules=['seq_integrity']
       20790.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
       20790.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       20850.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
       20850.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       20910.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       20970.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       21000.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       21300.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
       21450.0  ANOMALY_FLAG            spot=419 rule=seq_integrity
       21450.0  ANOMALY_FLAG            spot=431 rule=seq_integrity
       21510.0  ANOMALY_FLAG            spot=154 rule=seq_integrity
       21780.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       21870.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       22020.0  ANOMALY_FLAG            spot=387 rule=seq_integrity
       22080.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
       22230.0  ANOMALY_FLAG            spot=404 rule=rate_outlier
       22230.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       22260.0  QUARANTINE_ADD          spot=440 incidents=6 rules=['seq_integrity']
       22260.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
       22290.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       22320.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       22350.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       22500.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
       22530.0  ANOMALY_FLAG            spot=259 rule=seq_integrity
       22620.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       22770.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       22980.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
       23130.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       23130.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
       23220.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       23340.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       23340.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       23370.0  ANOMALY_FLAG            spot=153 rule=seq_integrity
       23400.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       23490.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       23700.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       23880.0  ANOMALY_FLAG            spot=454 rule=seq_integrity
       23910.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       23940.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       23940.0  ANOMALY_FLAG            spot=207 rule=rate_outlier
       24120.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       24150.0  ANOMALY_FLAG            spot=179 rule=seq_integrity
       24180.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
       24240.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
       24390.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
       24390.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       24420.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       24450.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       24510.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       24600.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       24600.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       24870.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
       25050.0  ANOMALY_FLAG            spot=320 rule=rate_outlier
       25050.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       25080.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       25110.0  ANOMALY_FLAG            spot=142 rule=rate_outlier
       25110.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       25110.0  ANOMALY_FLAG            spot=404 rule=rate_outlier
       25110.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       25260.0  ANOMALY_FLAG            spot=442 rule=seq_integrity
       25380.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       25440.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       25680.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
       25770.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       25830.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
       25950.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       26010.0  ANOMALY_FLAG            spot=153 rule=seq_integrity
       26100.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       26190.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       26220.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       26340.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       26520.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       26550.0  ANOMALY_FLAG            spot=320 rule=rate_outlier
       26580.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
       26730.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       26730.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
       26730.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
       26820.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       26940.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       27000.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       27000.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
       27030.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
       27300.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       27330.0  ANOMALY_FLAG            spot=225 rule=seq_integrity
       27330.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
       27330.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       27330.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       27690.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
       27720.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
       27810.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       27810.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       27840.0  ANOMALY_FLAG            spot=436 rule=rate_outlier
       27870.0  ANOMALY_FLAG            spot=153 rule=seq_integrity
       27900.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
       27900.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
       27990.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
       27990.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       28020.0  ANOMALY_FLAG            spot=446 rule=seq_integrity
       28020.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
       28200.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
       28200.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
       28440.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
