Scenario Log: A8_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 10800s
========================================================================

SUMMARY
  Anomalies detected    : 300
  Anomalies resolved    : 187
  Active at end         : 113
  Affected spots        : 155
  Quarantined at end    : 134
  Quarantine suppressed : 16
  Heartbeats suppressed : 4077
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        4410.0  QUARANTINE_ADD          spot=164 incidents=5 rules=['seq_integrity']
        4410.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        4470.0  ANOMALY_FLAG            spot=105 rule=silent
        4500.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        4620.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        4650.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        4710.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        4710.0  ANOMALY_FLAG            spot=370 rule=silent
        4710.0  ANOMALY_FLAG            spot=260 rule=silent
        4770.0  ANOMALY_FLAG            spot=189 rule=silent
        4800.0  ANOMALY_FLAG            spot=277 rule=silent
        4860.0  QUARANTINE_ADD          spot=297 incidents=5 rules=['silent']
        4860.0  ANOMALY_FLAG            spot=297 rule=silent
        4860.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        4920.0  ANOMALY_FLAG            spot=491 rule=silent
        5010.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        5130.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        5190.0  QUARANTINE_ADD          spot=105 incidents=5 rules=['silent']
        5340.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5430.0  QUARANTINE_ADD          spot=260 incidents=5 rules=['silent']
        5430.0  QUARANTINE_ADD          spot=370 incidents=5 rules=['silent']
        5430.0  ANOMALY_FLAG            spot=353 rule=silent
        5430.0  ANOMALY_FLAG            spot=213 rule=stuck
        5430.0  ANOMALY_FLAG            spot=461 rule=stuck
        5490.0  QUARANTINE_ADD          spot=189 incidents=5 rules=['silent']
        5490.0  ANOMALY_FLAG            spot=71 rule=stuck
        5490.0  ANOMALY_FLAG            spot=499 rule=stuck
        5520.0  ANOMALY_FLAG            spot=149 rule=stuck
        5520.0  ANOMALY_FLAG            spot=289 rule=stuck
        5520.0  ANOMALY_FLAG            spot=331 rule=silent
        5550.0  ANOMALY_FLAG            spot=410 rule=stuck
        5550.0  ANOMALY_FLAG            spot=410 rule=silent
        5610.0  ANOMALY_FLAG            spot=465 rule=stuck
        5610.0  ANOMALY_FLAG            spot=252 rule=stuck
        5610.0  ANOMALY_FLAG            spot=187 rule=stuck
        5640.0  QUARANTINE_ADD          spot=491 incidents=5 rules=['silent']
        5640.0  ANOMALY_FLAG            spot=335 rule=stuck
        5700.0  ANOMALY_FLAG            spot=270 rule=stuck
        5730.0  ANOMALY_FLAG            spot=50 rule=stuck
        5760.0  ANOMALY_FLAG            spot=115 rule=stuck
        5790.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        5820.0  ANOMALY_FLAG            spot=489 rule=stuck
        5820.0  ANOMALY_FLAG            spot=382 rule=stuck
        5820.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5880.0  ANOMALY_FLAG            spot=212 rule=stuck
        5880.0  ANOMALY_FLAG            spot=476 rule=stuck
        5910.0  ANOMALY_FLAG            spot=301 rule=stuck
        5940.0  ANOMALY_FLAG            spot=166 rule=silent
        5940.0  ANOMALY_FLAG            spot=123 rule=stuck
        5940.0  ANOMALY_FLAG            spot=382 rule=silent
        5940.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5970.0  ANOMALY_FLAG            spot=147 rule=stuck
        6000.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        6060.0  ANOMALY_FLAG            spot=319 rule=stuck
        6090.0  ANOMALY_FLAG            spot=408 rule=stuck
        6150.0  QUARANTINE_ADD          spot=353 incidents=5 rules=['silent']
        6150.0  QUARANTINE_ADD          spot=461 incidents=5 rules=['stuck']
        6150.0  ANOMALY_FLAG            spot=397 rule=stuck
        6150.0  ANOMALY_FLAG            spot=151 rule=stuck
        6150.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        6210.0  QUARANTINE_ADD          spot=71 incidents=5 rules=['stuck']
        6210.0  ANOMALY_FLAG            spot=261 rule=stuck
        6210.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        6240.0  QUARANTINE_ADD          spot=149 incidents=5 rules=['stuck']
        6240.0  QUARANTINE_ADD          spot=331 incidents=5 rules=['silent']
        6270.0  QUARANTINE_ADD          spot=410 incidents=5 rules=['stuck']
        6270.0  ANOMALY_FLAG            spot=214 rule=stuck
        6270.0  ANOMALY_FLAG            spot=229 rule=stuck
        6270.0  ANOMALY_FLAG            spot=2 rule=stuck
        6300.0  ANOMALY_FLAG            spot=376 rule=silent
        6300.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        6300.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
        6330.0  QUARANTINE_ADD          spot=187 incidents=5 rules=['stuck']
        6330.0  QUARANTINE_ADD          spot=252 incidents=5 rules=['stuck']
        6330.0  QUARANTINE_ADD          spot=465 incidents=5 rules=['stuck']
        6330.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        6330.0  ANOMALY_FLAG            spot=406 rule=stuck
        6360.0  QUARANTINE_ADD          spot=335 incidents=5 rules=['stuck']
        6360.0  ANOMALY_FLAG            spot=363 rule=stuck
        6390.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
        6390.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        6390.0  ANOMALY_FLAG            spot=447 rule=silent
        6420.0  QUARANTINE_ADD          spot=270 incidents=5 rules=['stuck']
        6420.0  ANOMALY_FLAG            spot=202 rule=stuck
        6450.0  QUARANTINE_ADD          spot=50 incidents=5 rules=['stuck']
        6480.0  QUARANTINE_ADD          spot=115 incidents=5 rules=['stuck']
        6510.0  ANOMALY_FLAG            spot=277 rule=stuck
        6510.0  ANOMALY_FLAG            spot=151 rule=silent
        6510.0  ANOMALY_FLAG            spot=266 rule=stuck
